email_address,user_id,campaign_name,send_time,open_rate,click_rate,last_opened,last_clicked,total_opens,total_clicks
user316@example.com,UID316,Newsletter,2024-07-18 14:07:22.323296,0.25564647765722476,0.03587176185687034,,,0,0
user118@example.com,UID118,Newsletter,2024-07-18 14:07:22.323296,0.25564647765722476,0.03587176185687034,,,0,0
user220@example.com,UID220,Newsletter,2024-07-18 14:07:22.323296,0.25564647765722476,0.03587176185687034,,,0,0
user171@example.com,UID171,Newsletter,2024-07-18 14:07:22.323296,0.25564647765722476,0.03587176185687034,2024-07-19 14:07:22.323296,,1,0
user456@example.com,UID456,Newsletter,2024-07-18 14:07:22.323296,0.25564647765722476,0.03587176185687034,,,0,0
user93@example.com,UID93,Newsletter,2024-07-18 14:07:22.323296,0.25564647765722476,0.03587176185687034,,,0,0
user335@example.com,UID335,Newsletter,2024-07-18 14:07:22.323296,0.25564647765722476,0.03587176185687034,2024-07-22 14:07:22.323296,,2,0
user361@example.com,UID361,Newsletter,2024-07-18 14:07:22.323296,0.25564647765722476,0.03587176185687034,2024-07-20 14:07:22.323296,2024-07-20 14:07:22.323296,2,2
user152@example.com,UID152,Newsletter,2024-07-18 14:07:22.323296,0.25564647765722476,0.03587176185687034,,,0,0
user392@example.com,UID392,Newsletter,2024-07-18 14:07:22.323296,0.25564647765722476,0.03587176185687034,,,0,0
user19@example.com,UID19,Newsletter,2024-07-18 14:07:22.323296,0.25564647765722476,0.03587176185687034,2024-07-18 14:07:22.323296,,2,0
user102@example.com,UID102,Newsletter,2024-07-18 14:07:22.323296,0.25564647765722476,0.03587176185687034,,,0,0
user445@example.com,UID445,Newsletter,2024-07-18 14:07:22.323296,0.25564647765722476,0.03587176185687034,2024-07-22 14:07:22.323296,,3,0
user137@example.com,UID137,Newsletter,2024-07-18 14:07:22.323296,0.25564647765722476,0.03587176185687034,,,0,0
user165@example.com,UID165,Newsletter,2024-07-18 14:07:22.323296,0.25564647765722476,0.03587176185687034,2024-07-21 14:07:22.323296,,3,0
user172@example.com,UID172,Newsletter,2024-07-18 14:07:22.323296,0.25564647765722476,0.03587176185687034,2024-07-20 14:07:22.323296,,4,0
user214@example.com,UID214,Newsletter,2024-07-18 14:07:22.323296,0.25564647765722476,0.03587176185687034,,,0,0
user52@example.com,UID52,Newsletter,2024-07-18 14:07:22.323296,0.25564647765722476,0.03587176185687034,,,0,0
user326@example.com,UID326,Newsletter,2024-07-18 14:07:22.323296,0.25564647765722476,0.03587176185687034,2024-07-23 14:07:22.323296,,2,0
user327@example.com,UID327,Newsletter,2024-07-18 14:07:22.323296,0.25564647765722476,0.03587176185687034,,,0,0
user129@example.com,UID129,Newsletter,2024-07-18 14:07:22.323296,0.25564647765722476,0.03587176185687034,,,0,0
user133@example.com,UID133,Newsletter,2024-07-18 14:07:22.323296,0.25564647765722476,0.03587176185687034,,,0,0
user245@example.com,UID245,Newsletter,2024-07-18 14:07:22.323296,0.25564647765722476,0.03587176185687034,,,0,0
user67@example.com,UID67,Newsletter,2024-07-18 14:07:22.323296,0.25564647765722476,0.03587176185687034,,,0,0
user268@example.com,UID268,Newsletter,2024-07-18 14:07:22.323296,0.25564647765722476,0.03587176185687034,2024-07-20 14:07:22.323296,,3,0
user487@example.com,UID487,Newsletter,2024-07-18 14:07:22.323296,0.25564647765722476,0.03587176185687034,2024-07-21 14:07:22.323296,,4,0
user240@example.com,UID240,Newsletter,2024-07-18 14:07:22.323296,0.25564647765722476,0.03587176185687034,,,0,0
user142@example.com,UID142,Newsletter,2024-07-18 14:07:22.323296,0.25564647765722476,0.03587176185687034,,,0,0
user374@example.com,UID374,Newsletter,2024-07-18 14:07:22.323296,0.25564647765722476,0.03587176185687034,,,0,0
